Word(s),Spoken Form (If Different)

nmap

admin

Cisco

Citrix

VPN

DNS

under-documented,under documented

Github,get hub
Github,git hub

incidence relation,incidents relation

von Mises,one Missus

Poisson ratio,person ratio

Timoshenko,Demotion co

mesh,Mech

connectivity

traction

Abaqus,Abacus

Galerkin,go lurking

discretization

UCSD

Jacobian,jacobean

Celsius,celsius


discrete,discreet
shear,sheer

heat flux,heat flocks

plane stress,plain stress
coordinate system,ordinate system

tensor,denser
tensor,tenser

eigenvalue,icon value

inflate,in flight

symmetry,cemetery

diagonal,Diagon


coordinates,cornets
